,0
0,0.9912835309914644
1,0.996491553521469
2,0.9973823710050969
3,0.9975239208839883
4,0.9976383887489425
5,0.9981032969180477
6,0.9982007035693001
7,0.9983077424571122
8,0.9984733434842976
9,0.9984980635430325
