,cos_sim
0,0.8333327788859606
1,0.8291537389159203
2,0.8283206541091204
3,0.8256170507520437
4,0.8264063447713852
5,0.8404281754046679
6,0.8393917605280876
7,0.8283874616026878
8,0.8348253555595875
9,0.8401929587125778
10,0.8913772720843554
11,0.8898551035672426
12,0.8915871698409319
13,0.891716880723834
14,0.883318830281496
15,0.8756795227527618
16,0.8863050695508718
17,0.8851647730916739
18,0.9676678813993931
19,0.9675689414143562
20,0.8921341840177774
21,0.8849814273416996
22,0.8931401334702969
23,0.8900824468582869
24,0.8850213382393122
25,0.8842423604801297
26,0.8915671035647392
27,0.8855492956936359
28,0.9675767868757248
29,0.9651212282478809
30,0.8837259151041508
31,0.8836890319362283
32,0.8860420547425747
33,0.8908012434840202
34,0.8859483357518911
35,0.884246189147234
36,0.8834712756797671
37,0.8867785753682256
38,0.9652453400194645
39,0.9678996205329895
40,0.8844616673886776
41,0.8884631246328354
42,0.891455315053463
43,0.8895209617912769
44,0.8899504393339157
45,0.8886583428829908
46,0.8889337480068207
47,0.8887175805866718
48,0.9678412526845932
49,0.9619738608598709
50,0.8980070631951094
51,0.8820591410622001
52,0.8947722781449556
53,0.891035882756114
54,0.88620800152421
55,0.8834798475727439
56,0.8828854104503989
57,0.8821868216618896
58,0.9662934765219688
59,0.9617429710924625
60,0.879844437353313
61,0.8948336970061064
62,0.8873393312096596
63,0.8889340218156576
64,0.8866062741726637
65,0.8845437783747911
66,0.8854990974068642
67,0.8846945185214281
68,0.9670134969055653
69,0.9673274084925652
70,0.8863358497619629
71,0.8895321674644947
72,0.8845502007752657
73,0.8895969223231077
74,0.8823992786929011
75,0.8824959546327591
76,0.8754868321120739
77,0.8941638078540564
78,0.9687543027102947
79,0.9687432497739792
80,0.8924606498330832
81,0.8886746801435947
82,0.882952137850225
83,0.8904354404658079
84,0.8867409806698561
85,0.8874037675559521
86,0.8800457520410419
87,0.8791217701509595
88,0.9649080373346806
89,0.9648628868162632
90,0.8922269195318222
91,0.8927473593503237
92,0.8844447433948517
93,0.8909778110682964
94,0.88546297326684
95,0.8838387578725815
96,0.8801558464765549
97,0.8921290393918753
98,0.9638126455247402
99,0.9635060355067253
100,0.8961849063634872
101,0.8839996485039592
102,0.8921931553632021
103,0.8908247333019972
104,0.883171122521162
105,0.8876815866678953
106,0.888109851628542
107,0.8838958973065019
108,0.9663658328354359
109,0.9637149646878242
110,0.881079662591219
111,0.884321958757937
112,0.8844772018492222
113,0.8920773454010487
114,0.8850124441087246
115,0.8896264862269163
116,0.8831053022295237
117,0.8833994586020708
118,0.9637326374650002
119,0.9663082174956799
120,0.8923848029226065
121,0.8839226644486189
122,0.8940807934850454
123,0.8910277597606182
124,0.8853025762364268
125,0.8892379701137543
126,0.887498376891017
127,0.8777371635660529
128,0.966132577508688
129,0.9636145122349262
130,0.887624429538846
131,0.8857890069484711
132,0.8857099311426282
133,0.8942666724324226
134,0.8828009851276875
135,0.8881079200655222
136,0.8885491192340851
137,0.8879497610032558
138,0.9644207581877708
139,0.9633176177740097
140,0.8876875024288893
141,0.8893592432141304
142,0.8939405642449856
143,0.8878457061946392
144,0.8836319427937269
145,0.8795518483966589
146,0.8832305809482932
147,0.8835087977349758
148,0.9657234773039818
149,0.9667959772050381
150,0.8818112453445792
151,0.8888875711709261
152,0.8870222102850676
153,0.8894940502941608
154,0.8833281686529517
155,0.8831281615421176
156,0.8935839831829071
157,0.8820341927930713
158,0.9669193029403687
159,0.9623477198183537
160,0.8835647869855165
161,0.8927212152630091
162,0.8925713077187538
163,0.8843683339655399
164,0.8885760568082333
165,0.88004494830966
166,0.884861646220088
167,0.8764355825260282
168,0.9655270911753178
169,0.9649172872304916
170,0.8857342731207609
171,0.8911239579319954
172,0.882391125895083
173,0.8836631989106536
174,0.8830288192257285
175,0.8966970574110746
176,0.8801029231399298
177,0.8850670121610165
178,0.9654858447611332
179,0.966184176504612
180,0.8892077319324017
181,0.88732735440135
182,0.8841204382479191
183,0.8868774306029081
184,0.8879305701702833
185,0.8857406470924616
186,0.8779534427449107
187,0.8913767207413912
188,0.9685791917145252
189,0.9657134339213371
190,0.8796749273315072
191,0.8928876463323832
192,0.8886131849139929
193,0.8847565464675426
194,0.8831339869648218
195,0.887933399528265
196,0.8906689658761024
197,0.8880453119054437
198,0.9675656445324421
199,0.9677083529531956
200,0.8905413653701544
201,0.887495456263423
202,0.8877530563622713
203,0.8857335932552814
204,0.8820386752486229
205,0.8871051426976919
206,0.8791658133268356
207,0.8867813590914011
208,0.9678763411939144
209,0.9653603583574295
210,0.8853339618071914
211,0.8859258564189076
212,0.88606739602983
213,0.8894763980060816
214,0.8885433953255415
215,0.8803464164957404
216,0.8841559775173664
217,0.8868982940912247
218,0.9651239886879921
219,0.964133121073246
220,0.8911256901919842
221,0.886649826541543
222,0.8933720011264086
223,0.8852216023951769
224,0.8864607736468315
225,0.8858744539320469
226,0.8948638364672661
227,0.880694791674614
228,0.9668743796646595
229,0.9641098752617836
230,0.8889677226543427
231,0.8916440140455961
232,0.9001319743692875
233,0.883758932352066
234,0.8839297629892826
235,0.8868701830506325
236,0.8848828487098217
237,0.8876975644379854
238,0.9665292426943779
239,0.9639981053769588
240,0.8924697767943144
241,0.8875930104404688
242,0.8906858656555414
243,0.8914773762226105
244,0.8873554598540068
245,0.8780510490760207
246,0.8896842580288649
247,0.8929389975965023
248,0.9701289273798466
249,0.9675811566412449
250,0.8867092486470938
251,0.8899812512099743
252,0.8890114836394787
253,0.8837899919599295
254,0.8896794747561216
255,0.8832198604941368
256,0.8847654890269041
257,0.8799990667030215
258,0.9676880314946175
259,0.9658396057784557
260,0.8847439792007208
261,0.8863236280158162
262,0.8842636356130242
263,0.8897190093994141
264,0.8915844019502401
265,0.8866473082453012
266,0.8856290522962809
267,0.8925003279000521
268,0.9695618376135826
269,0.9650469273328781
270,0.8930043540894985
271,0.8865135218948126
272,0.8891503699123859
273,0.891181293874979
274,0.8850327134132385
275,0.886048462241888
276,0.8882975839078426
277,0.8915296960622072
278,0.965707965195179
