,cos_sim
0,0.7603325304721615
1,0.7551424034611016
2,0.7437165103707797
3,0.7424986431767663
4,0.7460365767418008
5,0.7348360230245508
6,0.7302273423465874
7,0.7408154733623231
8,0.7398959471555883
9,0.7537554921783833
10,0.7490040661697364
11,0.7789034977347578
12,0.7599541110593513
13,0.7517519277519347
14,0.7323375015146572
15,0.7379269324068718
16,0.7231553143327032
17,0.7761634834001909
18,0.7484603140671904
19,0.7545362981891754
20,0.8249588505520604
21,0.8352672580255256
22,0.8114392793702796
23,0.8265695863503993
24,0.8260242813003311
25,0.8376609131254935
26,0.8371849419344372
27,0.8152489908538597
28,0.8289938589281809
29,0.8181974456497125
30,0.8196343875466007
31,0.8207587514931984
32,0.8146011076029394
33,0.8162238336258432
34,0.8258909868226244
35,0.8327637154963332
36,0.9426345138239
37,0.9453298776064465
38,0.9412118655296522
39,0.9447835951609992
