,0
0,0.8973514810204506
1,0.8985832333564758
2,0.9002910032868385
3,0.9010559320449829
4,0.9012426137924194
5,0.9024305418133736
6,0.9026353992521763
7,0.9034413173794746
8,0.9062066935002804
9,0.9103628285229206
10,0.9809370115399361
11,0.9819658845663071
12,0.9819676168262959
13,0.9821727722883224
14,0.9828938953578472
15,0.9830168262124062
16,0.9830470532178879
17,0.983244501054287
18,0.9832823984324932
19,0.9834256507456303
20,0.9888938069343567
21,0.9895869791507721
22,0.9896376244723797
23,0.9897009804844856
24,0.9897308610379696
25,0.9900060333311558
26,0.9900818206369877
27,0.9902899414300919
28,0.9905158765614033
29,0.9907006286084652
30,0.9919432587921619
31,0.9922115541994572
32,0.9923177696764469
33,0.9924350827932358
34,0.9924488626420498
35,0.9925052188336849
36,0.9927080348134041
37,0.9927897900342941
38,0.9928396120667458
39,0.9929431341588497
40,0.993707686662674
41,0.9937201365828514
42,0.9937374517321587
43,0.9938781969249249
44,0.9938783943653107
45,0.9939069151878357
46,0.9939791262149811
47,0.9940159879624844
48,0.9941469430923462
49,0.9942587316036224
50,0.9943981990218163
51,0.99440673366189
52,0.9944359436631203
53,0.9944583848118782
54,0.9947718754410744
55,0.9949006922543049
56,0.9950529076159
57,0.9951182194054127
58,0.9951328001916409
59,0.9952689111232758
60,0.9953050203621387
61,0.9954387508332729
62,0.9954663291573524
63,0.9955250360071659
64,0.9957543089985847
65,0.9957548528909683
66,0.9957717284560204
67,0.9958144053816795
68,0.9958571530878544
69,0.9958743900060654
70,0.9958878792822361
71,0.9959635846316814
72,0.9959958456456661
73,0.9960013963282108
74,0.9960020259022713
75,0.9961385540664196
76,0.9961660839617252
77,0.9962003119289875
78,0.9962698072195053
79,0.996305275708437
80,0.9963735193014145
81,0.9963773787021637
82,0.9964228197932243
83,0.9964937753975391
84,0.9964957721531391
85,0.996530819684267
86,0.9965317025780678
87,0.9965378977358341
88,0.9966000318527222
89,0.9966071434319019
90,0.9966797307133675
91,0.9967180006206036
92,0.996721263974905
93,0.9967241287231445
94,0.9967291131615639
95,0.9967684485018253
96,0.9968015775084496
97,0.9968513250350952
98,0.996860533952713
99,0.9969766102731228
