,train_acc,train_loss,test_acc,test_loss,com_time
0,0.9133333333333337,-0.8465294225226188,0.9031,-0.0070070735931396485,10.0
1,0.9433333333333337,-0.9393944122613161,0.9394,-0.007412133514881134,20.0
2,0.9333333333333333,-0.9465962229601725,0.9451,-0.007461659395694733,30.0
3,0.9399999999999998,-0.9493103135203036,0.948,-0.00748371570110321,40.0
4,0.9466666666666667,-0.9509493969372864,0.9502,-0.007501560878753662,50.0
5,0.9499999999999996,-0.9519470066572054,0.9513,-0.00750750407576561,60.0
6,0.9566666666666668,-0.953008845594651,0.9528,-0.007515710639953614,70.0
7,0.9499999999999996,-0.9536822327370844,0.9535,-0.007523131990432739,80.0
8,0.9466666666666667,-0.9541937147881334,0.9535,-0.007524772518873215,90.0
9,0.9399999999999998,-0.9545346168791197,0.9543,-0.007527019011974335,100.0
10,0.9499999999999996,-0.9550263138054886,0.9533,-0.007529120117425918,110.0
11,0.9533333333333334,-0.9551996612713255,0.9531,-0.007528667253255844,120.0
12,0.9466666666666667,-0.9552985647697559,0.9544,-0.007532835733890533,130.0
13,0.9533333333333334,-0.9559411394454512,0.9543,-0.0075357773065567015,140.0
14,0.9566666666666668,-0.9557900055962048,0.9552,-0.007535772687196731,150.0
15,0.9600000000000005,-0.9560830370685608,0.956,-0.007541337019205094,160.0
16,0.9533333333333334,-0.9562127654721453,0.9559,-0.0075385303676128385,170.0
17,0.9666666666666665,-0.9562317758611336,0.9554,-0.007542432528734207,180.0
18,0.9266666666666662,-0.9562512901144468,0.9556,-0.007541476798057556,190.0
19,0.9466666666666667,-0.9563823646201941,0.9556,-0.007543810206651688,200.0
20,0.9566666666666668,-0.9565750088038572,0.9574,-0.007547412639856339,210.0
21,0.9566666666666668,-0.9565790072647544,0.9565,-0.0075466256856918336,220.0
22,0.9499999999999996,-0.9566512274550296,0.9561,-0.007542227286100388,230.0
23,0.9399999999999998,-0.9565034239872204,0.9564,-0.007545862311124802,240.0
24,0.9533333333333334,-0.9567141486579887,0.9558,-0.007542911458015442,250.0
25,0.9499999999999996,-0.9567472774448065,0.9563,-0.007546576690673828,260.0
26,0.9600000000000005,-0.9568252723093693,0.9562,-0.007550083220005035,270.0
27,0.9399999999999998,-0.9566807027571045,0.9568,-0.007548187345266342,280.0
28,0.9399999999999998,-0.9568771953290447,0.9569,-0.007549563950300217,290.0
29,0.9666666666666665,-0.9568402528155355,0.9566,-0.007546083253622055,300.0
30,0.9499999999999996,-0.9568904628324324,0.9564,-0.007545631074905396,310.0
31,0.9666666666666665,-0.9568196484905551,0.9558,-0.007543821030855179,320.0
32,0.9533333333333334,-0.9569882358527277,0.9573,-0.007550686240196228,330.0
33,0.9600000000000005,-0.9570528726728484,0.9559,-0.007546242314577103,340.0
34,0.9499999999999996,-0.9568462195460368,0.9562,-0.007546969938278198,350.0
35,0.9566666666666668,-0.9570267660257002,0.956,-0.007546685034036636,360.0
36,0.9466666666666667,-0.9570330726967917,0.9559,-0.007545772135257721,370.0
37,0.9333333333333333,-0.9570626711123749,0.9564,-0.007549079740047455,380.0
38,0.9533333333333334,-0.9569955918099231,0.9561,-0.0075464307248592375,390.0
39,0.9566666666666668,-0.9570493110998382,0.9554,-0.007545534247159958,400.0
40,0.9466666666666667,-0.9570968950201267,0.9561,-0.007545785528421402,410.0
41,0.9666666666666665,-0.9569972888254114,0.9558,-0.007544465088844299,420.0
42,0.9566666666666668,-0.9570992115005224,0.9559,-0.007544600468873977,430.0
43,0.9399999999999998,-0.9573473739043962,0.9564,-0.0075469631254673,440.0
44,0.9499999999999996,-0.9572934097279993,0.9559,-0.007543248772621155,450.0
45,0.9433333333333337,-0.9572985183260906,0.9567,-0.007545622533559799,460.0
46,0.9566666666666668,-0.9572202345169369,0.9564,-0.0075492944478988645,470.0
47,0.9499999999999996,-0.9574846483985127,0.9564,-0.007549257469177246,480.0
48,0.9499999999999996,-0.9573337597445054,0.9568,-0.007550037777423859,490.0
49,0.97,-0.9572559328207113,0.9563,-0.007548869717121124,500.0
